,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2017-01-19,70.0,61.0,63.0,62.0,59.0,59.0,104.33,104.04,104.95,0.0
2017-01-20,70.0,66.0,68.0,64.0,60.0,61.0,87.15,86.66,88.42,70.9
2017-01-21,51.0,47.0,49.0,64.0,60.0,63.0,88.16,87.47,88.44,0.0
2017-01-22,77.0,68.0,71.0,52.0,51.0,52.0,68.35,68.21,69.17,155.0
2017-01-23,65.0,61.0,67.0,67.0,63.0,65.0,74.49,73.87,73.99,80.9
2017-01-24,72.0,64.0,68.0,58.0,53.0,57.0,59.91,59.15,59.89,137.0
2017-01-25,53.0,49.0,52.0,57.0,52.0,55.0,87.08,86.42,86.7,0.0
2017-01-26,66.0,58.0,65.0,55.0,52.0,54.0,101.24,100.48,101.63,0.0
2017-01-27,62.0,54.0,60.0,57.0,53.0,56.0,94.12,94.08,95.49,0.0
2017-01-28,64.0,57.0,61.0,58.0,54.0,55.0,100.42,96.99,96.1,0.0
2017-01-29,64.0,57.0,62.0,57.0,53.0,56.0,99.2,98.32,99.19,0.0
2017-01-30,60.0,53.0,58.0,59.0,57.0,59.0,96.69,94.92,97.45,0.0
2017-01-31,65.0,60.0,64.0,61.0,59.0,61.0,102.46,101.24,102.0,0.0
2017-02-01,59.0,57.0,59.0,61.0,57.0,59.0,65.68,64.79,65.38,99.3
2017-02-02,76.0,65.0,77.0,49.0,48.0,51.0,69.81,67.34,66.05,160.1
2017-02-03,49.0,46.0,48.0,65.0,60.0,64.0,83.6,82.5,83.32,0.0
2017-02-04,92.0,81.0,92.0,61.0,56.0,60.0,97.96,96.94,97.79,103.3
2017-02-05,74.0,65.0,73.0,45.0,42.0,45.0,57.97,57.17,57.54,192.7
2017-02-06,36.0,36.0,37.0,48.0,47.0,48.0,43.41,43.05,43.13,112.4
2017-02-07,52.0,49.0,51.0,46.0,46.0,46.0,52.97,51.99,52.6,128.9
2017-02-08,48.0,44.0,48.0,59.0,56.0,60.0,83.66,82.76,83.45,0.0
2017-02-09,56.0,53.0,57.0,61.0,58.0,60.0,91.93,90.71,91.42,0.0
2017-02-10,81.0,72.0,78.0,64.0,60.0,63.0,54.75,54.27,53.83,178.9
2017-02-11,63.0,62.0,64.0,50.0,45.0,49.0,56.59,56.03,56.21,150.5
2017-02-12,39.0,35.0,40.0,56.0,57.0,54.0,70.86,69.89,70.07,0.0
2017-02-13,77.0,65.0,70.0,61.0,59.0,59.0,109.79,108.62,109.28,0.0
2017-02-14,70.0,63.0,67.0,66.0,62.0,64.0,107.8,106.47,107.22,0.0
2017-02-15,69.0,66.0,68.0,51.0,49.0,50.0,73.2,72.31,72.87,125.8
2017-02-16,47.0,45.0,48.0,50.0,48.0,52.0,59.48,58.77,58.79,85.3
2017-02-17,29.0,27.0,30.0,53.0,51.0,53.0,44.48,44.17,44.29,53.1
2017-02-18,75.0,70.0,73.0,36.0,37.0,37.0,38.69,38.3,38.32,259.8
2017-02-19,32.0,31.0,32.0,60.0,64.0,60.0,60.63,60.06,60.09,1.8
2017-02-20,69.0,63.0,66.0,54.0,52.0,53.0,55.45,55.8,56.06,153.0
2017-02-21,65.0,59.0,64.0,59.0,57.0,58.0,99.43,98.78,100.62,0.0
2017-02-22,66.0,61.0,63.0,62.0,60.0,60.0,101.27,100.6,101.12,0.0
2017-02-23,65.0,60.0,63.0,62.0,60.0,60.0,76.44,75.99,76.44,64.4
2017-02-24,68.0,62.0,65.0,62.0,59.0,60.0,102.57,101.99,102.1,0.0
2017-02-25,70.0,63.0,65.0,63.0,64.0,61.0,65.2,64.54,64.77,111.7
2017-02-26,53.0,53.0,54.0,65.0,57.0,61.0,69.97,69.04,69.23,57.1
2017-02-27,75.0,63.0,67.0,48.0,49.0,47.0,53.41,52.84,53.22,187.2
2017-02-28,32.0,30.0,32.0,60.0,57.0,59.0,63.27,62.72,62.89,0.0
2017-03-01,81.0,75.0,76.0,47.0,46.0,45.0,54.97,54.57,54.9,193.7
2017-03-02,68.0,62.0,62.0,59.0,58.0,56.0,68.24,67.83,67.66,105.3
2017-03-03,55.0,51.0,51.0,66.0,62.0,66.0,29.4,29.15,29.19,92.1
2017-03-04,76.0,69.0,75.0,51.0,52.0,50.0,54.05,53.99,53.74,194.7
2017-03-05,70.0,63.0,65.0,62.0,59.0,61.0,43.55,43.03,43.76,169.3
2017-03-06,66.0,63.0,65.0,68.0,67.0,65.0,45.19,45.05,45.12,156.3
2017-03-07,71.0,65.0,66.0,56.0,55.0,52.0,63.57,66.92,69.69,131.0
2017-03-08,72.0,66.0,63.0,64.0,61.0,60.0,74.63,75.14,77.18,99.3
2017-03-09,72.0,66.0,66.0,63.0,61.0,60.0,93.63,90.1,89.74,34.6
2017-03-10,54.0,50.0,52.0,75.0,71.0,78.0,51.32,50.86,51.18,72.2
2017-03-11,82.0,72.0,76.0,47.0,49.0,55.0,58.53,58.62,58.7,186.9
2017-03-12,61.0,58.0,71.0,55.0,52.0,52.0,41.64,39.13,39.09,200.8
2017-03-13,73.0,65.0,68.0,62.0,60.0,64.0,99.78,98.91,99.81,0.0
2017-03-14,63.0,59.0,61.0,61.0,59.0,60.0,94.33,93.56,93.75,0.0
2017-03-15,51.0,48.0,51.0,61.0,57.0,60.0,42.44,41.96,42.13,117.2
2017-03-16,63.0,58.0,59.0,47.0,49.0,51.0,49.43,48.77,49.02,146.4
2017-03-17,68.0,60.0,67.0,47.0,45.0,47.0,51.55,46.0,46.52,168.0
2017-03-18,67.0,58.0,64.0,59.0,54.0,59.0,97.22,92.22,95.24,0.0
2017-03-19,69.0,61.0,66.0,58.0,54.0,57.0,98.5,97.84,98.73,0.0
2017-03-20,65.0,58.0,62.0,62.0,58.0,61.0,94.6,94.85,96.07,0.0
2017-03-21,71.0,63.0,67.0,58.0,55.0,60.0,47.69,47.64,47.85,172.5
2017-03-22,58.0,57.0,58.0,54.0,50.0,51.0,51.8,51.37,51.44,134.8
2017-03-23,37.0,35.0,37.0,57.0,55.0,56.0,53.12,52.45,52.46,43.9
2017-03-24,55.0,53.0,56.0,50.0,50.0,50.0,52.47,51.96,51.99,108.2
2017-03-25,71.0,65.0,64.0,52.0,52.0,53.0,74.59,74.2,74.5,79.8
2017-03-26,75.0,64.0,72.0,58.0,54.0,61.0,55.26,62.45,62.58,140.3
2017-03-27,44.0,44.0,45.0,60.0,57.0,59.0,18.81,18.68,18.62,160.9
2017-03-28,91.0,80.0,82.0,56.0,53.0,56.0,71.01,70.03,70.27,136.7
2017-03-29,74.0,65.0,72.0,65.0,59.0,62.0,74.8,74.28,74.39,77.4
2017-03-30,57.0,54.0,56.0,62.0,60.0,61.0,32.28,31.89,31.91,164.7
2017-03-31,56.0,55.0,56.0,57.0,55.0,57.0,48.43,48.13,48.14,116.8
2017-04-01,83.0,74.0,76.0,61.0,61.0,60.0,38.21,38.46,38.94,217.9
2017-04-02,61.0,59.0,61.0,55.0,53.0,53.0,32.3,32.0,31.97,194.9
2017-04-03,64.0,64.0,63.0,48.0,46.0,49.0,25.77,25.56,25.56,226.3
2017-04-04,42.0,38.0,42.0,55.0,52.0,55.0,38.42,38.07,38.11,99.2
2017-04-05,53.0,47.0,50.0,53.0,55.0,53.0,43.28,42.81,42.96,127.4
2017-04-06,60.0,57.0,60.0,54.0,55.0,56.0,55.14,54.68,54.82,108.1
2017-04-07,68.0,66.0,67.0,48.0,49.0,52.0,47.08,46.61,46.64,180.5
2017-04-08,41.0,38.0,43.0,54.0,58.0,57.0,41.33,41.02,41.04,94.5
2017-04-09,90.0,80.0,80.0,56.0,54.0,54.0,34.75,34.39,34.38,239.8
2017-04-10,74.0,64.0,68.0,56.0,54.0,55.0,34.79,34.58,34.62,192.9
2017-04-11,70.0,61.0,65.0,66.0,58.0,60.0,57.04,56.57,56.3,101.9
2017-04-12,77.0,64.0,69.0,59.0,55.0,58.0,98.83,98.02,99.43,2.6
2017-04-13,69.0,62.0,66.0,58.0,54.0,57.0,92.74,92.24,92.05,4.4
2017-04-14,53.0,50.0,51.0,61.0,58.0,62.0,79.0,78.47,78.7,0.0
2017-04-15,72.0,65.0,76.0,51.0,50.0,53.0,66.02,66.57,66.51,126.5
2017-04-16,100.0,97.0,96.0,79.0,72.0,76.0,38.29,37.93,38.01,295.7
2017-04-17,22.0,17.0,21.0,41.0,44.0,42.0,40.74,40.38,40.45,0.0
2017-04-18,72.0,70.0,71.0,53.0,52.0,51.0,31.32,30.98,31.04,223.9
2017-04-19,58.0,56.0,57.0,59.0,55.0,60.0,21.36,21.27,21.25,204.6
2017-04-20,57.0,47.0,54.0,51.0,50.0,53.0,53.56,53.27,53.41,91.3
2017-04-21,55.0,49.0,54.0,49.0,50.0,49.0,49.42,48.84,48.91,97.9
2017-04-22,62.0,58.0,60.0,54.0,54.0,55.0,49.63,49.04,49.14,123.8
2017-04-23,61.0,59.0,61.0,52.0,51.0,50.0,33.53,33.19,33.28,193.4
2017-04-24,58.0,57.0,58.0,47.0,45.0,47.0,32.14,31.81,31.83,189.4
2017-04-25,62.0,49.0,57.0,57.0,54.0,58.0,62.82,62.39,62.56,62.3
2017-04-26,59.0,55.0,57.0,60.0,59.0,60.0,34.57,34.2,34.32,154.5
2017-04-27,69.0,65.0,82.0,48.0,49.0,55.0,56.29,55.51,55.49,149.1
2017-04-28,63.0,59.0,74.0,53.0,52.0,56.0,72.75,76.61,76.88,55.1
2017-04-29,68.0,63.0,67.0,59.0,58.0,61.0,60.29,59.93,59.93,96.8
2017-04-30,63.0,59.0,61.0,58.0,55.0,58.0,36.17,35.8,35.87,154.5
2017-05-01,69.0,63.0,69.0,58.0,57.0,60.0,48.28,48.74,48.38,148.7
2017-05-02,42.0,40.0,42.0,58.0,54.0,56.0,53.82,53.39,53.32,43.3
2017-05-03,79.0,73.0,75.0,52.0,52.0,53.0,71.44,70.7,70.82,112.6
2017-05-04,68.0,62.0,70.0,56.0,56.0,57.0,52.14,51.29,51.16,130.9
2017-05-05,64.0,62.0,63.0,49.0,47.0,48.0,19.02,18.87,18.89,235.6
2017-05-06,62.0,61.0,62.0,47.0,45.0,46.0,25.7,25.55,25.52,223.6
2017-05-07,69.0,62.0,68.0,49.0,49.0,50.0,62.4,62.3,62.36,113.1
2017-05-08,53.0,46.0,52.0,65.0,60.0,64.0,62.11,64.72,66.32,34.6
2017-05-09,81.0,72.0,77.0,61.0,54.0,58.0,56.28,55.55,55.65,150.4
2017-05-10,51.0,50.0,50.0,61.0,56.0,57.0,20.43,20.32,20.32,165.8
2017-05-11,75.0,63.0,70.0,54.0,48.0,51.0,13.04,12.98,12.95,267.5
2017-05-12,80.0,68.0,74.0,59.0,53.0,56.0,58.83,59.0,59.35,134.0
2017-05-13,80.0,70.0,76.0,46.0,43.0,43.0,71.05,70.33,70.58,150.2
2017-05-14,51.0,49.0,51.0,53.0,50.0,53.0,32.9,32.5,32.55,179.5
2017-05-15,46.0,46.0,47.0,57.0,55.0,55.0,25.42,25.14,25.19,186.2
2017-05-16,45.0,43.0,44.0,72.0,70.0,71.0,36.6,36.21,36.31,103.8
2017-05-17,104.0,96.0,100.0,50.0,49.0,53.0,26.33,26.08,26.14,337.2
2017-05-18,29.0,29.0,31.0,57.0,58.0,56.0,54.17,54.04,53.77,0.0
2017-05-19,58.0,53.0,56.0,51.0,56.0,52.0,27.23,26.94,26.99,183.9
2017-05-20,71.0,70.0,71.0,48.0,49.0,48.0,23.75,23.58,23.56,257.9
2017-05-21,35.0,37.0,35.0,55.0,50.0,58.0,27.01,26.75,26.8,106.8
2017-05-22,65.0,61.0,64.0,45.0,49.0,48.0,23.52,23.36,23.38,227.1
2017-05-23,47.0,44.0,51.0,55.0,54.0,54.0,26.8,26.54,26.51,156.6
2017-05-24,71.0,68.0,70.0,55.0,53.0,50.0,53.79,53.39,53.47,141.8
2017-05-25,73.0,67.0,71.0,56.0,55.0,59.0,70.47,69.78,69.69,92.3
2017-05-26,73.0,68.0,72.0,50.0,52.0,51.0,19.32,19.13,19.14,270.1
2017-05-27,80.0,76.0,79.0,43.0,43.0,43.0,25.42,25.2,25.23,309.9
2017-05-28,41.0,40.0,42.0,57.0,54.0,54.0,22.01,21.89,21.88,166.3
2017-05-29,65.0,60.0,61.0,67.0,67.0,66.0,22.2,22.08,22.11,184.3
2017-05-30,62.0,60.0,60.0,57.0,55.0,55.0,27.12,26.86,26.91,198.4
2017-05-31,69.0,63.0,67.0,53.0,52.0,52.0,63.18,62.8,63.03,106.0
2017-06-01,62.0,57.0,60.0,52.0,47.0,46.0,44.47,43.96,44.11,150.1
2017-06-02,67.0,56.0,57.0,57.0,53.0,52.0,55.62,54.83,55.34,98.9
2017-06-03,66.0,61.0,62.0,57.0,55.0,53.0,63.65,63.15,63.31,93.1
2017-06-04,47.0,45.0,46.0,61.0,59.0,58.0,25.83,25.64,25.63,150.6
2017-06-05,84.0,82.0,81.0,46.0,44.0,41.0,19.46,19.32,19.3,325.9
2017-06-06,44.0,42.0,43.0,54.0,54.0,55.0,21.44,21.31,21.27,160.2
2017-06-07,77.0,72.0,76.0,50.0,48.0,48.0,20.84,20.84,20.7,287.3
2017-06-08,48.0,42.0,42.0,60.0,61.0,56.0,61.14,60.84,60.81,28.1
2017-06-09,69.0,63.0,63.0,54.0,53.0,51.0,47.66,47.74,47.47,149.2
2017-06-10,62.0,57.0,57.0,52.0,50.0,48.0,45.4,45.07,45.21,148.1
2017-06-11,64.0,60.0,63.0,53.0,52.0,51.0,51.04,50.92,50.82,133.9
2017-06-12,60.0,55.0,55.0,54.0,52.0,51.0,40.65,39.91,40.28,147.0
2017-06-13,66.0,61.0,60.0,54.0,52.0,49.0,47.6,47.49,46.69,144.9
2017-06-14,65.0,63.0,64.0,55.0,53.0,51.0,23.04,22.75,22.76,231.1
2017-06-15,53.0,49.0,48.0,61.0,60.0,58.0,46.87,46.9,46.66,91.7
2017-06-16,73.0,67.0,67.0,55.0,54.0,53.0,67.12,65.01,67.5,110.9
2017-06-17,66.0,61.0,60.0,56.0,54.0,52.0,51.51,51.37,51.64,148.0
2017-06-18,58.0,55.0,55.0,66.0,61.0,61.0,42.49,41.93,42.2,129.0
2017-06-19,71.0,70.0,71.0,53.0,50.0,51.0,27.21,26.98,27.03,243.0
2017-06-20,48.0,44.0,45.0,57.0,62.0,61.0,50.99,50.74,50.83,59.4
2017-06-21,79.0,74.0,78.0,51.0,49.0,49.0,62.96,62.71,62.26,154.7
2017-06-22,65.0,59.0,60.0,53.0,53.0,50.0,53.83,53.94,53.74,128.7
2017-06-23,62.0,58.0,58.0,55.0,54.0,51.0,50.88,50.21,50.58,127.0
2017-06-24,65.0,63.0,61.0,64.0,61.0,59.0,61.14,60.69,60.85,99.3
2017-06-25,67.0,62.0,64.0,59.0,57.0,54.0,52.65,52.4,52.3,147.7
2017-06-26,68.0,64.0,66.0,53.0,54.0,51.0,43.83,43.77,43.67,191.0
2017-06-27,56.0,52.0,53.0,67.0,64.0,63.0,57.5,57.7,57.75,84.7
2017-06-28,77.0,76.0,77.0,49.0,48.0,46.0,18.07,18.0,17.95,311.3
2017-06-29,63.0,54.0,49.0,63.0,59.0,59.0,37.51,37.61,37.53,137.6
2017-06-30,62.0,57.0,58.0,61.0,60.0,58.0,42.49,42.33,42.41,142.8
2017-07-01,58.0,58.0,59.0,54.0,52.0,51.0,36.71,36.93,36.59,173.0
2017-07-02,71.0,62.0,64.0,53.0,52.0,53.0,61.16,60.32,60.41,117.5
2017-07-03,54.0,52.0,53.0,54.0,52.0,49.0,39.66,39.54,39.66,141.4
2017-07-04,69.0,61.0,63.0,48.0,47.0,51.0,52.57,54.65,52.33,146.4
2017-07-05,61.0,57.0,57.0,51.0,50.0,45.0,47.05,46.9,47.3,141.7
2017-07-06,62.0,57.0,55.0,54.0,50.0,50.0,45.56,45.6,46.58,141.2
2017-07-07,66.0,64.0,66.0,54.0,52.0,50.0,29.49,29.33,29.41,229.9
2017-07-08,73.0,72.0,71.0,68.0,67.0,65.0,11.92,11.85,11.81,267.9
2017-07-09,72.0,66.0,66.0,50.0,52.0,50.0,29.27,29.15,29.18,245.6
2017-07-10,33.0,31.0,33.0,66.0,63.0,64.0,59.01,58.36,58.52,1.59999999999
2017-07-11,76.0,68.0,71.0,54.0,50.0,51.0,60.34,60.53,60.77,146.6
2017-07-12,68.0,63.0,63.0,51.0,52.0,51.0,59.88,61.02,59.84,124.7
2017-07-13,64.0,59.0,57.0,54.0,53.0,49.0,52.87,51.3,49.72,140.0
2017-07-14,67.0,64.0,60.0,58.0,57.0,51.0,53.11,52.78,52.48,140.2
2017-07-15,64.0,61.0,57.0,55.0,55.0,51.0,53.06,52.67,52.87,140.7
2017-07-16,76.0,75.0,76.0,53.0,51.0,50.0,15.7,15.58,15.6,300.5
2017-07-17,63.0,61.0,57.0,63.0,62.0,62.0,27.19,25.53,25.66,189.1
2017-07-18,53.0,52.0,53.0,52.0,53.0,49.0,63.41,59.81,60.16,73.0
2017-07-19,59.0,54.0,53.0,47.0,48.0,44.0,47.04,44.12,44.32,137.0
2017-07-20,57.0,54.0,51.0,50.0,49.0,46.0,43.88,41.2,41.42,136.8
2017-07-21,59.0,56.0,54.0,50.0,50.0,45.0,45.07,44.5,44.54,139.6
2017-07-22,57.0,56.0,56.0,55.0,52.0,50.0,45.89,44.91,44.89,148.4
2017-07-23,65.0,60.0,59.0,52.0,52.0,51.0,54.2,53.22,54.3,138.1
2017-07-24,60.0,59.0,57.0,53.0,53.0,49.0,49.14,48.33,49.17,145.9
2017-07-25,66.0,65.0,61.0,58.0,58.0,55.0,59.85,59.57,60.4,115.3
2017-07-26,63.0,61.0,60.0,56.0,54.0,53.0,53.41,52.77,52.64,146.7
2017-07-27,65.0,61.0,61.0,56.0,55.0,52.0,57.8,52.87,51.61,141.5
2017-07-28,63.0,62.0,62.0,53.0,54.0,54.0,61.32,56.14,53.93,139.2
2017-07-29,61.0,60.0,60.0,57.0,57.0,53.0,60.84,55.46,49.87,142.6
2017-07-30,65.0,66.0,63.0,61.0,59.0,57.0,55.98,54.34,54.52,145.8
2017-07-31,69.0,67.0,66.0,56.0,58.0,53.0,61.36,60.31,60.69,142.5
